file	role	trial	phase	F	Q	P_f	P_tau	pressure_N	force_tangential_N	torque_tangential_Nm	source_pkl
00_before.pdf	before		reference	-0.50286989	0.620806137	0.111787011	0.00614923596	15.9848341	1.40830046	0.221796928	2026-07-07T14:30:29.894256.pkl
01_trial_01.pdf	candidate	1	initial	0.386812528	0.638680657	0.993252277	0.0322409075	31.8178217	4.04999337	0.507825828	2026-07-07T14:30:31.427030.pkl
02_trial_02.pdf	candidate	2	initial	-0.522522366	0.63284804	0.0961117245	0.0142139492	15.2825451	2.11218369	0.336537263	2026-07-07T14:30:32.073312.pkl
03_trial_03.pdf	candidate	3	EI	-0.621893213	0.629079465	0.00180600814	0.00538024396	8.64893932	0.986906201	0.203920352	2026-07-07T14:30:32.943300.pkl
04_trial_04.pdf	candidate	4	EI	-0.219770941	0.637677804	0.401102882	0.0168039808	23.1723804	2.21364562	0.366645492	2026-07-07T14:30:33.984600.pkl
05_trial_05.pdf	candidate	5	EI	0.66040602	0.638979601	1.20195737	0.0974282487	34.1094855	5.2200435	0.882830182	2026-07-07T14:30:35.098882.pkl
06_trial_06.pdf	candidate	6	EI	-0.44423747	0.631062267	0.186333224	0.000491573635	18.3991522	0.645894313	0.059797547	2026-07-07T14:30:36.310957.pkl
07_trial_07.pdf	candidate	7	EI	-0.630881072	0.632692609	0.000192435602	0.00161910069	7.14509956	0.416163479	0.113667602	2026-07-07T14:30:37.594957.pkl
08_trial_08.pdf	candidate	8	EI	-0.186805164	0.634553963	0.389334996	0.0584138026	22.6021689	4.5355978	0.683537485	2026-07-07T14:30:39.015477.pkl
09_trial_09.pdf	candidate	9	EI	1.03505806	0.637881008	1.49922638	0.173712692	36.9515412	7.26125952	1.17879874	2026-07-07T14:30:40.548971.pkl
10_verified_best.pdf	verified_best		verification	-0.601821727	0.633845009	0.0314141045	0.000609176908	0.933686044	0.362372863	0.0577219746	2026-07-07T14:30:41.446380.pkl
